"","m/z","var_m/z","max_int","sum_int","RT","minRT","maxRT","part_ID","EIC_ID","peak_ID","Score"
"1",747.566903921274,1.86789876375443e-07,38441832,321350026,1182.57,1167.46,1194.21,5643,9651,6389,0
"2",807.584587097168,1.11723318696022e-05,37731596,259247027.875,1281.22,1251.89,1283.58,6023,10515,7163,0
"3",807.586355251736,1.20122926403778e-06,36009296,708853013.59375,1290.22,1286.74,1376.05,6023,10515,7164,0
"4",747.566586449033,2.78687193280175e-06,33110528,544347710.40625,1198.14,1196.46,1283.58,5643,9651,6390,0
"5",804.576019287109,1.9360072257226e-06,32796032,893089164.4375,1281.22,1259.7,1376.05,6002,10465,7116,0
"6",833.602182617188,2.64014516557966e-06,29189826,776532195,1281.22,1253.72,1352.77,6168,10854,7419,0
"7",248.973225911458,3.10440858205159e-10,27701960,77520638,1974.02,1972.6,1976.25,1446,2280,1550,0
"8",248.973239135742,3.95812094211578e-10,26747256,121041072,1969.31,1963.83,1970.64,1446,2280,1551,0
"9",248.973327636719,8.38190317153931e-10,26108286,139557452,907.461,905.769,916.024,1446,2280,1552,0
"10",748.528776524431,1.73538871009332e-06,25162256,532647889.125,1255.94,1229.09,1346.61,5652,9669,6403,0
"11",830.592490544395,5.9932729737672e-07,21524864,633305200.578125,1288.69,1257.62,1384.31,6151,10817,7392,0
"12",788.545085906982,2.55640285710494e-06,20737256,189211729.46875,1342.12,1315.93,1346.61,5900,10212,6883,0
"13",213.01530456543,3.20589886261867e-09,20694914,158910316.046875,233.449,231.895,298.168,972,1513,1013,0
"14",213.015313955454,6.66970243820777e-09,20599246,167432226.607422,216.027,166.658,218.257,972,1513,1014,0
"15",213.015267944336,6.51925802230835e-10,20353468,96427672,222.444,219.676,229.668,972,1513,1015,0
"16",744.554936335637,3.48157034470485e-06,20250096,148594225.65625,1414.29,1388.52,1418.6,5622,9604,6347,0
"17",744.555723532652,6.30333195170249e-08,20061320,301935457.757812,1423.35,1420.55,1528.09,5622,9604,6348,0
"18",766.539556884766,2.48725215593974e-07,19231946,100389665.25,1304.37,1288.69,1305.55,5767,9918,6616,0
"19",788.545837402344,1.49011611938477e-08,18722590,52427321,1348.43,1348.43,1352.77,5900,10212,6884,0
"20",722.513793945312,1.68618402983013e-08,18470398,248679549,1255.94,1247.94,1286.74,5438,9269,6080,0
"21",808.589460406387,1.85489579848478e-06,18102002,482379786.28125,1281.22,1257.62,1371.74,6030,10528,7179,0
"22",885.550643920898,1.59458621688511e-07,17844100,290135985.25,1241.11,1202.62,1251.89,6451,11539,8074,0
"23",766.539835611979,4.96705373128255e-09,17791766,48553667,1315.93,1313.95,1317.11,5767,9918,6617,0
"24",748.56962483724,3.44039428801764e-07,17663478,162386876.015625,1182.57,1165.1,1196.46,5652,9670,6406,0
"25",766.539815266927,1.61429246266683e-08,17530010,48951113,1312.55,1308.05,1312.55,5767,9918,6618,0
"26",722.512992858887,1.26812873142106e-06,17361060,57098717.328125,1245.55,1230.95,1245.55,5438,9269,6081,0
"27",257.939140319824,1.53002994401114e-09,16748888,123021701,1732.74,1724.39,1742.07,1555,2432,1648,0
