"","m/z","var_m/z","max_int","sum_int","RT","minRT","maxRT","part_ID","EIC_ID","peak_ID","Score"
"1",703.574234286222,1.35244343818639e-07,276911648,6538905753.375,1179.51,1166.62,1282.74,4472,9207,8821,0
"2",763.594296159415,4.38332350342041e-07,272701792,8391970230,1284.14,1263.17,1379.66,4730,9921,9917,0
"3",760.583843455595,2.45416090481108e-06,241620016,7641693184.875,1284.14,1254.83,1391.88,4717,9886,9854,0
"4",789.607749245384,8.87980515306646e-06,226815584,1303447558,1272.33,1254.83,1277.47,4820,10232,10369,0
"5",789.609725288723,5.82210683592276e-07,216804160,5653427118,1284.14,1279.29,1368.38,4820,10232,10370,0
"6",786.599175347222,8.23703077104357e-07,171698256,1012736938,1274.95,1258.73,1277.47,4816,10202,10324,0
"7",786.59955609034,2.72966688618072e-07,169739344,4728118876.625,1284.14,1279.29,1410.93,4816,10202,10325,0
"8",761.57839457194,2.47832202742286e-06,159847968,4762594693.5,1193.2,1160.95,1263.17,4721,9897,9877,0
"9",788.615547688802,7.65321955168988e-07,151849984,4224580379.4375,1394.24,1364.07,1514.66,4819,10222,10355,0
"10",735.562821608323,2.82203382496381e-06,136838256,3889383157,1195.45,1158.85,1270.79,4606,9551,9360,0
"11",791.625377655029,3.65341002953813e-07,131110864,3477980448,1394.24,1365.61,1483.18,4823,10257,10412,0
"12",704.577813617254,6.38912324665723e-07,129658920,3001723500.03125,1179.51,1150.81,1280.6,4476,9217,8841,0
"13",764.597567374246,8.11674466407986e-08,123583232,3936259443.5,1282.74,1263.17,1377.43,4736,9939,9941,0
"14",732.552951049805,1.55305774030039e-06,119794976,3425356237.25,1195.45,1160.95,1287.44,4592,9513,9302,0
"15",761.587252177889,3.61332176772985e-07,116781016,3654483630.3125,1284.14,1265.12,1391.88,4721,9898,9880,0
"16",758.56826060902,3.30302049013902e-06,107698960,3096921926.25,1193.2,1158.85,1277.47,4705,9858,9810,0
"17",790.612813313802,1.02445483207703e-08,105849152,843245416,1284.14,1277.47,1291.61,4822,10242,10383,0
"18",790.609436035156,1.66824708382289e-05,104477448,524223222.5,1272.33,1248.64,1274.95,4822,10242,10384,0
"19",813.68251546224,3.80611780918006e-06,96858816,737739613.5,1487.09,1468.65,1497.76,4884,10537,10877,0
"20",790.613038958925,7.46186935540402e-08,94865968,1767881639,1297.28,1295.15,1359.77,4822,10242,10385,0
"21",765.600700827206,1.81060065241421e-08,94051152,1245602338,1284.14,1263.17,1295.15,4739,9951,9962,0
"22",813.682580896326,2.20333245602456e-05,92589272,1435145150.25,1504.12,1501.07,1612.03,4884,10537,10878,0
"23",787.60065375434,9.18511715200212e-06,91490512,586107366,1272.33,1258.73,1277.47,4818,10211,10339,0
"24",787.603006614829,2.39986553247504e-07,90960368,2234330066.6875,1284.14,1280.6,1385.01,4818,10211,10340,0
