LipidIon,Class,FattyAcid,Ion,Formula,ObsMz,Rt,Pol.,z,ObsMass,CalcMz,Grade
MG(16:0)+H,MG,(16:0),M+H,C19 H39 O4,331.283841,11.04598,P,1,331.2843895,331.2842865,C
MG(18:1)+H,MG,(18:1),M+H,C21 H41 O4,357.29948,11.367347,P,1,357.3000285,357.2999365,C
DG(10:0p/8:0)+NH4,DG,(10:0p/8:0),M+NH4,C21 H44 O4 N1,374.325984,12.038635,P,1,374.3265325,374.3264855,C
PE(8:0p/8:0)+H,PE,(8:0p/8:0),M+H,C21 H43 O7 N1 P1,452.276847,5.78809,P,1,452.2773955,452.2771685,C
PE(8:0e/8:0)+H,PE,(8:0e/8:0),M+H,C21 H45 O7 N1 P1,454.292343,7.987687,P,1,454.2928915,454.2928185,C
PE(8:0p/10:0)+H,PE,(8:0p/10:0),M+H,C23 H47 O7 N1 P1,480.308124,7.612779,P,1,480.3086725,480.3084685,C
PE(8:0e/10:0)+H,PE,(8:0e/10:0),M+H,C23 H49 O7 N1 P1,482.323767,11.299507,P,1,482.3243155,482.3241185,C
PE(8:0p/12:0)+H,PE,(8:0p/12:0),M+H,C25 H51 O7 N1 P1,508.339731,11.233918,P,1,508.3402795,508.3397685,C
DG(16:1p/16:0)+H,DG,(16:1p/16:0),M+H,C35 H67 O4,551.500506,24.194301,P,1,551.5010545,551.5033865,C
MG(32:0)+H,MG,(32:0),M+H,C35 H71 O4,555.53385,25.737847,P,1,555.5343985,555.5346865,C
MG(32:1)+NH4,MG,(32:1),M+NH4,C35 H72 O4 N1,570.54473,24.097444,P,1,570.5452785,570.5455855,C
MG(32:0)+NH4,MG,(32:0),M+NH4,C35 H74 O4 N1,572.561115,26.002779,P,1,572.5616635,572.5612355,C
MG(34:3)+H,MG,(34:3),M+H,C37 H69 O4,577.515859,24.10198,P,1,577.5164075,577.5190365,C
DG(16:1p/18:1)+H,DG,(16:1p/18:1),M+H,C37 H69 O4,577.516421,24.136857,P,1,577.5169695,577.5190365,C
MG(34:1)+H,MG,(34:1),M+H,C37 H73 O4,581.549717,25.728837,P,1,581.5502655,581.5503365,C
MG(34:0)+H,MG,(34:0),M+H,C37 H75 O4,583.565872,27.014207,P,1,583.5664205,583.5659865,C
DG(16:0p/18:1)+NH4,DG,(16:0p/18:1),M+NH4,C37 H74 O4 N1,596.560298,23.72722,P,1,596.5608465,596.5612355,C
DG(18:0p/16:0)+NH4,DG,(18:0p/16:0),M+NH4,C37 H76 O4 N1,598.576111,25.234712,P,1,598.5766595,598.5768855,C
MG(34:1)+NH4,MG,(34:1),M+NH4,C37 H76 O4 N1,598.576257,25.784044,P,1,598.5768055,598.5768855,C
MG(34:0)+NH4,MG,(34:0),M+NH4,C37 H78 O4 N1,600.591987,27.409003,P,1,600.5925355,600.5925355,C
DG(18:2p/18:1)+H,DG,(18:2p/18:1),M+H,C39 H71 O4,603.529916,24.141376,P,1,603.5304645,603.5346865,C
DG(18:1p/18:0)+H,DG,(18:1p/18:0),M+H,C39 H75 O4,607.563119,27.016465,P,1,607.5636675,607.5659865,C
DG(18:0p/18:1)+NH4,DG,(18:0p/18:1),M+NH4,C39 H78 O4 N1,624.591416,25.236972,P,1,624.5919645,624.5925355,C
MG(36:1)+NH4,MG,(36:1),M+NH4,C39 H80 O4 N1,626.607438,27.268063,P,1,626.6079865,626.6081855,C
SM(d12:0/18:1)+H,SM,(d12:0/18:1),M+H,C35 H72 O6 N2 P1,647.511113,15.997487,P,1,647.5116615,647.5122525,C
PC(16:0/10:0)+H,PC,(16:0/10:0),M+H,C34 H69 O8 N1 P1,650.475454,15.87902,P,1,650.4760025,650.4755335,C
SM(d13:0/18:1)+H,SM,(d13:0/18:1),M+H,C36 H74 O6 N2 P1,661.527103,17.471048,P,1,661.5276515,661.5279025,C
SM(d14:1/18:1)+H,SM,(d14:1/18:1),M+H,C37 H74 O6 N2 P1,673.527337,16.488708,P,1,673.5278855,673.5279025,C
SM(d16:1/16:0)+H,SM,(d16:1/16:0),M+H,C37 H76 O6 N2 P1,675.542538,18.21694,P,1,675.5430865,675.5435525,C
PC(16:1/12:0)+H,PC,(16:1/12:0),M+H,C36 H71 O8 N1 P1,676.49055,16.541731,P,1,676.4910985,676.4911835,C
PC(16:0/12:0)+H,PC,(16:0/12:0),M+H,C36 H73 O8 N1 P1,678.505856,17.670702,P,1,678.5064045,678.5068335,C
SM(d15:0/18:1)+H,SM,(d15:0/18:1),M+H,C38 H78 O6 N2 P1,689.557817,19.170574,P,1,689.5583655,689.5592025,C
PC(16:1/13:0)+H,PC,(16:1/13:0),M+H,C37 H73 O8 N1 P1,690.505773,20.509833,P,1,690.5063215,690.5068335,C
PC(14:0e/16:0)+H,PC,(14:0e/16:0),M+H,C38 H79 O7 N1 P1,692.557928,21.038466,P,1,692.5584765,692.5588685,C
SM(d16:0/18:4)+H,SM,(d16:0/18:4),M+H,C39 H74 O6 N2 P1,697.524112,17.781212,P,1,697.5246605,697.5279025,C
SM(d16:0/18:3)+H,SM,(d16:0/18:3),M+H,C39 H76 O6 N2 P1,699.542287,16.925641,P,1,699.5428355,699.5435525,C
PC(8:0/22:3)+H,PC,(8:0/22:3),M+H,C38 H71 O8 N1 P1,700.489815,15.692828,P,1,700.4903635,700.4911835,C
SM(d16:1/18:1)+H,SM,(d16:1/18:1),M+H,C39 H78 O6 N2 P1,701.557953,18.416532,P,1,701.5585015,701.5592025,C
PC(12:0/18:2)+H,PC,(12:0/18:2),M+H,C38 H73 O8 N1 P1,702.505889,16.732414,P,1,702.5064375,702.5068335,C
SM(d16:0/18:1)+H,SM,(d16:0/18:1),M+H,C39 H80 O6 N2 P1,703.573886,19.997093,P,1,703.5744345,703.5748525,C
PC(16:1/14:0)+H,PC,(16:1/14:0),M+H,C38 H75 O8 N1 P1,704.521228,18.827857,P,1,704.5217765,704.5224835,C
SM(d16:0/18:0)+H,SM,(d16:0/18:0),M+H,C39 H82 O6 N2 P1,705.589707,21.8603,P,1,705.5902555,705.5905025,C
PC(15:1/16:2)+H,PC,(15:1/16:2),M+H,C39 H73 O8 N1 P1,714.505596,16.741456,P,1,714.5061445,714.5068335,C
PC(16:1/15:1)+H,PC,(16:1/15:1),M+H,C39 H75 O8 N1 P1,716.522077,17.169383,P,1,716.5226255,716.5224835,C
SM(d14:1/18:1)+HCOO,SM,(d14:1/18:1),M+HCOO,C38 H74 O8 N2 P1,717.51934,16.02292,N,1,717.5187915,717.5188295,C
PC(16:0/15:1)+H,PC,(16:0/15:1),M+H,C39 H77 O8 N1 P1,718.536823,22.261171,P,1,718.5373715,718.5381335,C
PC(16:0e/16:1)+H,PC,(16:0e/16:1),M+H,C40 H81 O7 N1 P1,718.572856,20.915393,P,1,718.5734045,718.5745185,C
PC(16:0/15:0)+H,PC,(16:0/15:0),M+H,C39 H79 O8 N1 P1,720.552924,20.546837,P,1,720.5534725,720.5537835,C
PC(16:0e/16:0)+H,PC,(16:0e/16:0),M+H,C40 H83 O7 N1 P1,720.589006,22.77933,P,1,720.5895545,720.5901685,C
SM(d16:0/20:5)+H,SM,(d16:0/20:5),M+H,C41 H76 O6 N2 P1,723.53906,17.906271,P,1,723.5396085,723.5435525,C
PC(12:0/20:4)+H,PC,(12:0/20:4),M+H,C40 H73 O8 N1 P1,726.506129,16.767443,P,1,726.5066775,726.5068335,C
PC(16:1/16:2)+H,PC,(16:1/16:2),M+H,C40 H75 O8 N1 P1,728.521337,17.811604,P,1,728.5218855,728.5224835,C
SM(d18:1/18:1)+H,SM,(d18:1/18:1),M+H,C41 H82 O6 N2 P1,729.589378,20.088228,P,1,729.5899265,729.5905025,C
PC(16:1/16:1)+H,PC,(16:1/16:1),M+H,C40 H77 O8 N1 P1,730.536829,18.497523,P,1,730.5373775,730.5381335,C
SM(d18:1/18:0)+H,SM,(d18:1/18:0),M+H,C41 H84 O6 N2 P1,731.605178,21.94715,P,1,731.6057265,731.6061525,C
PC(16:0/16:1)+H,PC,(16:0/16:1),M+H,C40 H79 O8 N1 P1,732.552687,23.269976,P,1,732.5532355,732.5537835,C
PC(16:0/16:0)+H,PC,(16:0/16:0),M+H,C40 H81 O8 N1 P1,734.56819,22.702938,P,1,734.5687385,734.5694335,C
PC(16:0e/17:0)+H,PC,(16:0e/17:0),M+H,C41 H85 O7 N1 P1,734.605186,23.883736,P,1,734.6057345,734.6058185,C
PC(13:0/20:5)+H,PC,(13:0/20:5),M+H,C41 H73 O8 N1 P1,738.50166,18.219725,P,1,738.5022085,738.5068335,C
PC(13:0/20:4)+H,PC,(13:0/20:4),M+H,C41 H75 O8 N1 P1,740.521651,17.259729,P,1,740.5221995,740.5224835,C
PC(15:1/18:2)+H,PC,(15:1/18:2),M+H,C41 H77 O8 N1 P1,742.536265,18.079923,P,1,742.5368135,742.5381335,C
