m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
89.02446256,1.39E-10,7002053120,24458743802,528.817,518.687,582.159,1062,1405,782,0
128.0353762,9.91E-10,2199805952,8642483621,564.546,548.86,584.909,2147,2615,1989,0
129.055822,1.82E-10,1248746880,5176361557,202.126,190.002,255.304,2175,2648,2041,0
133.0142619,2.68E-10,1232969728,3025983729,587.182,582.159,610.912,2282,2767,2187,0
215.0329111,4.94E-10,961190656,4121032561,637.18,625.399,676.207,4035,4552,4426,0
145.0618462,5.46E-10,892845760,2234551915,661.194,650.522,697.202,2561,3072,2596,0
146.0458984,6.98E-10,829112000,2184237431,603.015,584.909,645.294,2584,3098,2632,0
96.96967429,1.86E-09,768915648,6034551338,625.399,600.941,663.405,1305,1677,999,0
141.0169519,1.52E-10,739489408,8296630216,1242.59,1239.3,1311.15,2460,2956,2418,0
141.0169678,0,738689344,2124022656,1231.32,1228.43,1233.67,2460,2956,2419,0
141.0169576,7.76E-11,735990912,2140626560,1225.82,1220.18,1225.82,2460,2956,2420,0
179.0561197,4.06E-10,735697920,3485748412,640.198,625.399,676.207,3311,3837,3549,0
191.019771,5.21E-10,612281856,1782564909,603.015,595.031,610.912,3562,4084,3851,0
130.0872746,5.12E-09,546662784,1853360153,573.398,564.546,579.409,2206,2682,2079,0
306.0767267,2.66E-08,544458624,1347586925,595.031,589.396,615.871,5874,6320,6536,0
118.0510499,9.61E-11,540647616,2183227110,650.522,640.198,697.202,1913,2341,1646,0
239.0773709,1.68E-09,513420352,2521431104,640.198,625.399,685.915,4554,5056,5050,0
194.9464694,1.39E-09,412008960,2204571890,625.399,605.278,630.093,3632,4156,3940,0
130.0873464,4.80E-10,406515968,1475472794,587.182,582.159,610.912,2206,2682,2080,0
124.0073746,2.74E-10,399082752,821917679.7,610.912,597.921,621.376,2051,2510,1863,0
125.0011063,8.26E-10,364318208,1241364079,528.817,508.297,584.909,2077,2538,1883,0
116.0717346,8.30E-10,353953952,1057598035,615.871,605.278,627.746,1853,2275,1570,0
88.04044554,1.15E-10,338939584,1062120474,658.043,645.294,685.915,1027,1366,752,0
187.0419194,2.99E-09,338167584,858278846.4,528.817,523.679,553.566,3474,3998,3749,0
179.0560946,3.77E-09,322639456,555267056.5,528.817,523.679,555.516,3311,3837,3550,0
277.0330614,3.38E-09,321790848,1441589972,637.18,625.399,655.782,5317,5795,5917,0
257.0780858,1.15E-09,305203712,919655104.4,564.546,557.997,570.776,4925,5422,5507,0
353.0492302,1.24E-07,301200512,754826439.9,193.297,183.405,234.293,6606,7000,7266,0
217.0298191,4.88E-09,298860384,1289955499,637.18,625.399,676.207,4085,4602,4495,0
145.0142117,1.46E-09,285458912,600882028.9,579.409,570.776,587.182,2556,3065,2582,0
248.9734039,1.55E-10,251131328,875762784,139.072,136.709,143.26,4740,5239,5291,0
248.9732971,2.33E-10,249709520,1097331232,1760.62,1758.13,1767.43,4740,5239,5292,0
248.9733734,0,248053072,1080894256,47.7423,45.9149,53.9109,4740,5239,5293,0
117.0193932,2.38E-10,243943968,498812014.5,584.909,574.583,600.941,1879,2303,1603,0
90.02772695,4.15E-10,242309360,835037377,528.817,523.679,573.398,1099,1446,817,0
164.0717335,3.38E-10,237089360,951490860.5,560.342,553.566,587.182,2956,3481,3112,0
292.9237084,2.93E-08,225847408,1136632782,625.399,607.623,640.198,5603,6070,6247,0
128.0353669,1.12E-10,207995392,2716802840,665.883,655.782,719.583,2147,2615,1990,0
223.0200755,7.76E-11,207800112,572574560,1231.32,1228.43,1233.67,4222,4738,4684,0
223.0200602,7.76E-11,196015648,562903104,1225.82,1220.18,1225.82,4222,4738,4685,0
223.0200467,4.26E-10,194991840,2231110400,1245.88,1236.82,1288.5,4222,4738,4686,0
74.02478027,9.70E-11,194288144,705280179.6,670.575,655.782,701.229,576,898,490,0
132.030236,1.13E-09,177867056,325809033.9,605.278,600.941,625.399,2252,2733,2146,0
135.0298958,5.84E-09,177548832,397917008,577.197,570.776,587.182,2333,2822,2267,0
96.96011162,9.77E-10,166566064,344031548.7,589.396,587.182,605.278,1303,1674,994,0
214.0487544,6.61E-09,159625888,356184988.2,673.592,658.043,706.336,4020,4535,4409,0
333.0917206,1.04E-08,149662288,315697698.6,210.279,199.897,234.293,6323,6734,6997,0
128.0353729,1.63E-10,147318224,607541912,603.015,597.921,607.623,2147,2615,1991,0
115.04012,7.65E-10,143049600,694291777.4,220.189,193.297,277.831,1819,2234,1526,0
218.1033603,6.98E-09,141237296,334988157.8,536.154,521.321,553.566,4118,4638,4544,0
191.0197845,6.98E-11,134409424,469136224,655.782,653.842,663.405,3562,4084,3852,0
146.0458639,6.14E-10,131759496,439057742.2,566.084,550.271,582.159,2584,3098,2633,0
89.02447237,8.60E-11,127956688,1033819534,640.198,630.093,661.194,1062,1405,783,0
180.0666188,4.53E-09,127233536,386398907.4,605.278,595.031,627.746,3330,3861,3575,0
154.0621993,1.56E-09,122869856,340978601.7,668.902,658.043,698.744,2732,3255,2813,0
191.0197784,7.45E-10,122777344,495076912,647.37,640.198,650.522,3562,4084,3853,0
126.9981963,2.88E-09,122489840,410789736.5,528.817,521.321,564.546,2120,2582,1929,0
129.038728,3.63E-09,120599560,472983714.7,564.546,553.566,579.409,2173,2645,2034,0
104.0353813,1.32E-10,116932888,410567871.5,670.575,665.883,703.04,1514,1906,1227,0
