m/z,var_m/z,max_int,sum_int,RT,minRT,maxRT,part_ID,EIC_ID,peak_ID,Score
116.0705655,2.35E-10,1645495296,5178615351,631.736,622.214,662.031,1176,1534,1013,0
118.0861801,4.24E-10,1608329088,6406867879,599.566,586.555,609.268,1224,1588,1077,0
132.1018606,6.06E-10,1539285376,4909423004,587.749,581.054,612.556,1507,1915,1488,0
118.0861465,2.14E-09,1424413952,3922791256,615.171,612.556,646.13,1224,1588,1078,0
120.065497,1.66E-09,1357074944,4659829798,649.013,626.103,692.396,1261,1635,1136,0
147.0763425,3.17E-10,1319032704,3900138166,662.031,649.013,672.218,1818,2248,1850,0
132.1018181,7.15E-10,1231512576,4285052075,573.966,563.926,577.765,1507,1915,1489,0
166.0861664,3.46E-09,1129523712,3455941482,561.985,544.448,583.803,2190,2635,2276,0
218.1385443,4.06E-09,1077470208,2950877086,583.803,573.966,599.566,3248,3745,3619,0
258.1099708,6.42E-09,1058883712,3365433609,669.738,649.013,709.665,4053,4574,4578,0
162.1123739,9.94E-10,1049036736,3323156547,657.427,641.304,669.738,2111,2556,2188,0
148.0603525,3.23E-09,866082752,2185232142,601.776,577.765,631.736,1841,2274,1878,0
184.073238,2.66E-09,795197504,3202498194,665.048,643.651,672.218,2560,3033,2762,0
132.0767148,2.18E-09,614380480,1473916900,665.048,641.304,672.218,1503,1911,1481,0
204.1229841,1.39E-08,550839744,1814344990,612.556,601.776,643.651,2978,3466,3273,0
90.05494254,1.68E-10,445280512,1351974078,657.427,638.555,669.738,727,1033,536,0
308.0908156,2.23E-08,404963968,1010531620,596.678,586.555,617.52,5186,5737,5878,0
184.073288,1.69E-09,371245632,1732029180,674.698,674.698,695.557,2560,3033,2763,0
126.0218521,5.02E-09,361068896,705422688.7,609.268,594.331,633.677,1395,1790,1320,0
182.0811462,1.15E-09,346027680,961323199.3,604.658,596.678,628.449,2520,2991,2709,0
150.0582823,2.01E-09,324003616,819434569,591.041,581.054,622.214,1886,2322,1936,0
176.1393114,2.82E-09,299164256,1016638817,599.566,583.803,615.171,2394,2860,2562,0
128.9534236,8.49E-10,283310240,1434125809,1263.18,1260.02,1296.16,1448,1845,1379,0
128.95342,7.76E-11,278356224,764222720,1257.4,1250.82,1257.4,1448,1845,1380,0
128.9534353,7.76E-11,276059168,754400496,1238.47,1235.18,1240.95,1448,1845,1381,0
146.1175345,2.10E-09,275476832,739188997.6,674.698,665.048,720.426,1796,2223,1823,0
232.1541208,3.24E-09,268926976,767125902.1,557.161,544.448,572.285,3534,4048,3988,0
130.0498671,3.94E-10,247345008,818517772,662.031,649.013,672.218,1468,1867,1412,0
104.9922809,3.75E-10,205935072,2329573832,1238.47,1232.97,1299.93,972,1310,781,0
104.1069553,5.22E-10,200680272,3923923798,848.396,753.669,927.072,964,1299,767,0
104.9922918,3.69E-10,199864144,573894704,1229.94,1224.98,1229.94,972,1310,782,0
170.0810793,1.87E-09,196620736,1719672389,373.005,346.209,446.365,2269,2721,2383,0
104.9922841,9.51E-10,193397088,560253312,1221.83,1216.05,1221.83,972,1310,783,0
393.2859331,1.93E-06,182519264,290419112.8,185.057,178.461,208.634,7089,7603,7780,0
76.03929093,8.04E-10,175129728,630281526.6,672.218,652.809,695.557,457,739,316,0
86.09637197,3.06E-10,169301184,497467144,587.749,581.054,601.776,666,970,486,0
205.0970484,4.73E-09,165196560,362168854,558.698,549.435,573.966,3002,3493,3318,0
156.0767228,1.16E-09,164320784,461490344,667.527,636.561,678.767,1985,2424,2042,0
120.0807037,7.66E-10,162978544,507159973.7,561.985,554.139,581.054,1264,1639,1147,0
391.2840449,2.31E-08,137290880,211634818.9,175.162,164.743,198.253,7048,7561,7736,0
160.1331701,1.52E-09,133183648,387864773.1,678.767,672.218,709.665,2069,2513,2142,0
186.9953232,8.54E-10,127024472,474942840,1229.94,1227.46,1235.18,2624,3102,2840,0
732.5535889,4.31E-07,123006248,261019495.3,230.688,221.037,269.251,11321,11624,11650,0
186.9952935,5.10E-09,122679424,1167160559,1238.47,1238.47,1289.07,2624,3102,2841,0
186.995283,1.12E-09,121540688,1533694489,1207.67,1107.85,1210.55,2624,3102,2842,0
219.1418304,6.73E-09,119019264,323121953.6,583.803,576.226,604.658,3270,3767,3648,0
167.089489,5.20E-09,113997976,343574114.7,561.985,551.921,586.555,2208,2656,2302,0
216.0630432,4.28E-09,109925776,280693161.1,672.218,665.048,699.583,3203,3696,3559,0
758.5689941,2.24E-07,106990888,199228038,227.656,218.534,262.912,11644,11925,11874,0
133.1051517,1.21E-09,105286744,310833444.4,587.749,581.054,601.776,1530,1941,1530,0
123.0551993,3.28E-10,105207448,971902994.4,284.359,266.215,319.712,1334,1721,1240,0
102.0549266,3.46E-10,104044952,364646189.8,649.013,638.555,672.218,914,1238,708,0
175.1188791,9.82E-10,102875112,1131452669,1136.49,1123.58,1167.6,2370,2835,2526,0
220.1178157,1.40E-08,102454184,178632429.1,537.534,527.174,554.139,3289,3787,3661,0
170.0923109,1.14E-09,101147960,399184838.6,649.013,628.449,672.218,2270,2722,2386,0
110.0269981,1.65E-09,100588784,315103738.7,652.809,638.555,669.738,1068,1413,895,0
134.044721,2.41E-09,97220496,190985296,604.658,601.776,628.449,1539,1952,1542,0
259.1132159,1.99E-09,94917296,296031214.2,669.738,662.031,695.557,4081,4604,4613,0
