"","mz1","rt1","Intensity","mz2","rt2","Metabolite","Accession","Theoretical_mz","Adduct","Charge","Annotation","Score","delmz_ppm","Grades"
"5469",298.1146037,10.7932166666667,3227679.25,298.1145992,10.7952301,"L-Ala-Gly-Gly-Gly-Gly","NISTNO:1007242",298.1145992,"[M-H-H2O]-",-1,"12C",0.997483561330687,0.0150948659770021,"A+"
"825",140.0119264,10.8731,96155704,140.0119293,10.87466838,"2-Aminoethyl dihydrogen phosphate_RT2","NISTNO:1355761",140.0119293,"[M-H]-",-1,"12C",0.99740194280616,0.0207125212324951,"A+"
"1761",165.019313,9.48878333333333,36675024,165.0193081,9.486694336,"3,4-Dihydroxymandelic acid","NISTNO:1112556",165.0193081,"[M-H-H2O]-",-1,"12C",0.996369442760879,0.0296934942501836,"A+"
"1770",165.019313,9.48878333333333,36675024,165.0193081,9.486694336,"Terephthalic acid","NISTNO:1186072",165.0193081,"[M-H]-",-1,"12C",0.996369442760879,0.0296934942501836,"A+"
"1779",165.019313,9.48878333333333,36675024,165.0193081,9.486694336,"1,2-Benzenedicarboxylic acid","NISTNO:1109138",165.0193081,"[M-H]-",-1,"12C",0.996369442760879,0.0296934942501836,"A+"
"157",145.0619341,10.9589333333333,951873024,145.061938,10.95591939,"L-Glutamine_RT5","NISTNO:1369702",145.061938,"[M-H]-",-1,"12C",0.995961197782288,0.0268850682298864,"A+"
"166",145.0619341,10.9589333333333,951873024,145.061938,10.95591939,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5","NISTNO:1527295",145.061938,"[M-H]-",-1,"12C",0.995961197782288,0.0268850682298864,"A+"
"5143",101.0244853,10.7297833333333,4360088.5,101.0244812,10.73115946,"L-(+)-Threose_RT3","NISTNO:1625975",101.0244812,"[M-H-H2O]-",-1,"12C",0.995714616210198,0.0405842206075066,"A+"
"5152",101.0244853,10.7297833333333,4360088.5,101.0244812,10.73115946,"L-(+)-Erythrulose_RT3","NISTNO:1625553",101.0244812,"[M-H-H2O]-",-1,"12C",0.995714616210198,0.0405842206075066,"A+"
"5161",101.0244853,10.7297833333333,4360088.5,101.0244812,10.73115946,"D-(-)-Erythrose_RT3","NISTNO:1625987",101.0244812,"[M-H-H2O]-",-1,"12C",0.995714616210198,0.0405842206075066,"A+"
"5202",101.0244853,10.7297833333333,4360088.5,101.0244812,10.73115946,"DL-Homoserine_RT3","NISTNO:1007226",101.0244812,"[M-H-NH3]-",-1,"12C",0.995714616210198,0.0405842206075066,"A+"
"5211",101.0244853,10.7297833333333,4360088.5,101.0244812,10.73115946,"L-Serine methyl ester_RT3","NISTNO:1255567",101.0244812,"[M-H-NH3]-",-1,"12C",0.995714616210198,0.0405842206075066,"A+"
"5281",225.099454,11.6766666666667,4179643.5,225.0994461,11.67317403,"Ala-His_RT2","NISTNO:1636270",225.0994461,"[M-H]-",-1,"12C",0.995048684913817,0.0350955982956781,"A+"
"5284",225.099454,11.6766666666667,4179643.5,225.0994461,11.67317403,"His-Ala_RT2","NISTNO:1640403",225.0994461,"[M-H]-",-1,"12C",0.995048684913817,0.0350955982956781,"A+"
