Analyte Cluster,Analyte Group,Analyte,Accession,Theoretical m/z,Adduct,Charge,Average m/z,Delta Average m/z ppm,Average RT,Std dev RT,Sample,Library,Record ID,ID Score,Raw Intensity,m/z,Aligned RT,delta m/z AMU,delta m/z ppm,m/z FWHM,RT FWHM,Isotopic Distribution Score,Mass Accuracy Score,MS2 Score,XIC Score,Attributes
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0513468,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet37,nist_library_elements (2017).libdb,NISTNO:1571688,0.9826145,2.01E+09,127.0513468,10.96840922,4.58E-05,0.360161032,0.001449585,0.113223259,0.98323715,0.98199195,,0.19082469,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0513187,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1369703,0.5347898,6.30E+08,127.0513187,10.96583964,1.77E-05,0.13923007,0.001235962,0.099778247,0.64331716,0.9930385,0.34586447,0.057541713,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0513221,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1571688,0.9689274,1.78E+09,127.0513221,11.0496226,2.11E-05,0.165714707,0.001441956,0.116439517,0.94614047,0.99171424,,0.12261538,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0513614,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1571688,0.9762642,1.80E+08,127.0513614,11.01014811,6.03E-05,0.474716714,0.001098633,0.067209911,,0.9762642,,R,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0514199,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1369703,0.5437887,5.13E+08,127.0514199,11.01718038,1.19E-04,0.935681237,0.001152039,0.084720596,0.74968934,0.95321596,0.3386793,0.015858782,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0513159,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet39,nist_library_elements (2017).libdb,NISTNO:1369704,0.6379977,1.75E+09,127.0513159,10.94787496,1.49E-05,0.117260117,0.001472473,0.111644554,0.9866655,0.994137,0.403062,0.1797192,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.051398,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1571688,0.96184146,2.00E+08,127.051398,10.95591939,9.70E-05,0.763170533,0.001083374,0.054997194,,0.9618415,,R,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0513386,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1369703,0.5894655,6.00E+08,127.0513386,10.93809713,3.75E-05,0.295457716,0.001296997,0.103750149,0.8983551,0.9852271,0.35458177,0.009076295,
,L-Glutamine_RT5,L-Glutamine_RT5,CASNO:56-85-9,127.0513409,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1571688,0.98430556,8.20E+07,127.0513409,10.9576945,3.99E-05,0.313888751,7.86E-04,0.036849976,,0.98430556,,R,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0513468,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet37,nist_library_elements (2017).libdb,NISTNO:1527336,0.9826145,2.01E+09,127.0513468,10.96840922,4.58E-05,0.360161032,0.001449585,0.113223259,0.98323715,0.98199195,,0.19082469,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0513187,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1527336,0.8181778,6.30E+08,127.0513187,10.96583964,1.77E-05,0.13923007,0.001235962,0.099778247,0.64331716,0.9930385,,0.057541713,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0513221,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1527336,0.9689274,1.78E+09,127.0513221,11.0496226,2.11E-05,0.165714707,0.001441956,0.116439517,0.94614047,0.99171424,,0.12261538,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0513614,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1527336,0.9762642,1.80E+08,127.0513614,11.01014811,6.03E-05,0.474716714,0.001098633,0.067209911,,0.9762642,,R,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0514199,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1527336,0.85145265,5.13E+08,127.0514199,11.01718038,1.19E-04,0.935681237,0.001152039,0.084720596,0.74968934,0.95321596,,0.015858782,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0513159,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet39,nist_library_elements (2017).libdb,NISTNO:1527336,0.99040127,1.75E+09,127.0513159,10.94787496,1.49E-05,0.117260117,0.001472473,0.111644554,0.9866655,0.994137,,0.1797192,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.051398,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1527336,0.96184146,2.00E+08,127.051398,10.95591939,9.70E-05,0.763170533,0.001083374,0.054997194,,0.9618415,,R,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0513386,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1527336,0.9417912,6.00E+08,127.0513386,10.93809713,3.75E-05,0.295457716,0.001296997,0.103750149,0.8983551,0.9852271,,0.009076295,
,L-Glutamine_RT5,"N-Nitroso-N-methyl-3-aminopropionic acid, methyl ester_RT5",CASNO:383417-47-8,127.0513409,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1527336,0.98430556,8.20E+07,127.0513409,10.9576945,3.99E-05,0.313888751,7.86E-04,0.036849976,,0.98430556,,R,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0513468,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet37,nist_library_elements (2017).libdb,NISTNO:1639549,0.9826145,2.01E+09,127.0513468,10.96840922,4.58E-05,0.360161032,0.001449585,0.113223259,0.98323715,0.98199195,,0.19082469,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0513187,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1636259,0.3628116,6.30E+08,127.0513187,10.96583964,1.77E-05,0.13923007,0.001235962,0.099778247,0.64331716,0.9930385,0.059234105,0.057541713,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0513221,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1639549,0.9689274,1.78E+09,127.0513221,11.0496226,2.11E-05,0.165714707,0.001441956,0.116439517,0.94614047,0.99171424,,0.12261538,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0513614,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet2,nist_library_elements (2017).libdb,NISTNO:1639549,0.9762642,1.80E+08,127.0513614,11.01014811,6.03E-05,0.474716714,0.001098633,0.067209911,,0.9762642,,R,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0514199,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet19,nist_library_elements (2017).libdb,NISTNO:1636259,0.37059686,5.13E+08,127.0514199,11.01718038,1.19E-04,0.935681237,0.001152039,0.084720596,0.74968934,0.95321596,0.05002633,0.015858782,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0513159,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet39,nist_library_elements (2017).libdb,NISTNO:1636259,0.5330138,1.75E+09,127.0513159,10.94787496,1.49E-05,0.117260117,0.001472473,0.111644554,0.9866655,0.994137,0.22808881,0.1797192,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.051398,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet3,nist_library_elements (2017).libdb,NISTNO:1639549,0.96184146,2.00E+08,127.051398,10.95591939,9.70E-05,0.763170533,0.001083374,0.054997194,,0.9618415,,R,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0513386,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet21,nist_library_elements (2017).libdb,NISTNO:1636259,0.4226821,6.00E+08,127.0513386,10.93809713,3.75E-05,0.295457716,0.001296997,0.103750149,0.8983551,0.9852271,0.07660939,0.009076295,
,L-Glutamine_RT5,Ala-Gly_RT5,CASNO:687-69-4,127.0513409,[M-H-H2O]-,-1,127.05135,NaN,10.978976,0.037631977,070518Phhmet1,nist_library_elements (2017).libdb,NISTNO:1639549,0.98430556,8.20E+07,127.0513409,10.9576945,3.99E-05,0.313888751,7.86E-04,0.036849976,,0.98430556,,R,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0513468,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet37,nist_library_elements (2017).libdb,NISTNO:1640388,0.9826145,2.01E+09,127.0513468,10.96840922,4.58E-05,0.360161032,0.001449585,0.113223259,0.98323715,0.98199195,,0.19082469,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0513187,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet20,nist_library_elements (2017).libdb,NISTNO:1638981,0.3283974,6.30E+08,127.0513187,10.96583964,1.77E-05,0.13923007,0.001235962,0.099778247,0.64331716,0.9930385,0.001877178,0.057541713,
,L-Glutamine_RT5,Gly-Ala_RT5,CASNO:3695-73-6,127.0513221,[M-H-H2O]-,-1,127.05135,0.39614233,10.978976,0.037631977,070518Phhmet38,nist_library_elements (2017).libdb,NISTNO:1640388,0.9689274,1.78E+09,127.0513221,11.0496226,2.11E-05,0.165714707,0.001441956,0.116439517,0.94614047,0.99171424,,0.12261538,
